2021-05-07 18:13:08.325255	https://www.encodeproject.org/cart-report/?type=Experiment&cart=%2Fcarts%2Fbb87d192-cfd4-4769-aa11-45f959ca27cf%2F&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&advancedQuery=date_released%3A%5B2009-01-01+TO+2021-12-31%5D&limit=all
ID	Accession	Assay name	Assay title	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Replicates	Mixed biosamples
/experiments/ENCSR700XDQ/	ENCSR700XDQ	long read RNA-seq	long read RNA-seq			heart left ventricle tissue female adult (46 years)	heart left ventricle		ENC4_49 W72 heart left ventricle	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF429JUP/,/files/ENCFF795TPX/,/files/ENCFF502LAB/,/files/ENCFF115LYD/,/files/ENCFF932PTQ/		ENCBS735POC	1	1		Homo sapiens	adult	46 years										/replicates/a23c7f74-7419-48a1-a9c6-129fb3919164/	
/experiments/ENCSR426KOP/	ENCSR426KOP	long read RNA-seq	long read RNA-seq			left lung tissue male adult (40 years)	left lung	GEO:GSE143127	ENC4_81 W76 left lung	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF196WMM/,/files/ENCFF092NTE/,/files/ENCFF274XPG/,/files/ENCFF137TXO/,/files/ENCFF036BAP/,/files/ENCFF494EBW/,/files/ENCFF818VIC/,/files/ENCFF757LOZ/,/files/ENCFF453WFA/		ENCBS420JRY	1	1		Homo sapiens	adult	40 years										/replicates/3c996486-0a1b-466c-be00-6d7cd7a89581/	
/experiments/ENCSR591OZR/	ENCSR591OZR	long read RNA-seq	long read RNA-seq			Right ventricle myocardium inferior tissue male adult (60 years)	Right ventricle myocardium inferior		ENC4_57 W78 right ventricle myocardium inferior	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF738UZJ/,/files/ENCFF064VBO/,/files/ENCFF656BTN/,/files/ENCFF173JOL/,/files/ENCFF571CND/		ENCBS587FSN	1	1		Homo sapiens	adult	60 years										/replicates/fdf5de0d-1858-4c0f-98c8-05940a9cc2a0/	
/experiments/ENCSR786FLO/	ENCSR786FLO	long read RNA-seq	long read RNA-seq			left ventricle myocardium inferior tissue male adult (60 years)	left ventricle myocardium inferior		ENC4_55 W78 left ventricle myocardium inferior	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF793CMQ/,/files/ENCFF983JOM/,/files/ENCFF755YKI/,/files/ENCFF132YCF/,/files/ENCFF167RQY/		ENCBS858CJV	1	1		Homo sapiens	adult	60 years										/replicates/b14e3144-c308-4be1-8882-f2779bbb3f42/	
/experiments/ENCSR782LGT/	ENCSR782LGT	long read RNA-seq	long read RNA-seq			heart right ventricle tissue female adult (46 years)	heart right ventricle		ENC4_50 W72 heart right ventricle	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF793PGJ/,/files/ENCFF660UTF/,/files/ENCFF654ZCI/,/files/ENCFF977DHG/,/files/ENCFF327SFR/		ENCBS756PTZ	1	1		Homo sapiens	adult	46 years										/replicates/b2ef52c7-b04d-430d-b621-9e2966cd5757/	
/experiments/ENCSR984OAE/	ENCSR984OAE	long read RNA-seq	long read RNA-seq			heart right ventricle tissue male adult (40 years)	heart right ventricle		ENC4_52 W76 heart right ventricle	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF425VDL/,/files/ENCFF018PZX/,/files/ENCFF294CAJ/,/files/ENCFF290RMA/,/files/ENCFF514MGQ/		ENCBS832WVF	1	1		Homo sapiens	adult	40 years										/replicates/f616224e-fccf-46b1-8a73-c17a6156cc88/	
/experiments/ENCSR810XLL/	ENCSR810XLL	long read RNA-seq	long read RNA-seq			MCF-7	MCF-7		MCF-7 cell line	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF887DGG/,/files/ENCFF742XDU/,/files/ENCFF476CVK/,/files/ENCFF118JEI/,/files/ENCFF390CLZ/		ENCBS734JMT	1	1		Homo sapiens	adult	69 years										/replicates/d72b8196-8c13-4b8b-abb0-dc8fb3eada80/	
/experiments/ENCSR261GOA/	ENCSR261GOA	long read RNA-seq	long read RNA-seq			lower lobe of left lung tissue female adult (59 years)	lower lobe of left lung		ENC4_80 W73 lower lobe of left lung	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF552NVU/,/files/ENCFF779VVX/,/files/ENCFF926LNM/,/files/ENCFF243QTD/,/files/ENCFF932OPV/		ENCBS231BSF	1	1		Homo sapiens	adult	59 years										/replicates/ae622311-970d-4e0a-9ef6-260b4d75bb51/	
/experiments/ENCSR296PQZ/	ENCSR296PQZ	long read RNA-seq	long read RNA-seq			osteocyte	osteocyte		H9-derived osteocytes	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF556DYU/,/files/ENCFF560XTG/,/files/ENCFF655UCV/,/files/ENCFF731AYN/,/files/ENCFF049DVQ/,/files/ENCFF660BPA/,/files/ENCFF925MYC/,/files/ENCFF558QPF/,/files/ENCFF169LGK/,/files/ENCFF654DGP/		ENCBS034WOR,ENCBS572IFJ	1,2	1		Homo sapiens	embryonic	5 days										/replicates/85030b7c-c78a-4b77-a7f6-584a9c191e3f/,/replicates/ea69e8df-54cb-4a3d-8248-ff1fa1ca05be/	
/experiments/ENCSR130CIK/	ENCSR130CIK	long read RNA-seq	long read RNA-seq			type B pancreatic cell	type B pancreatic cell		H9-derived insulin-producing beta-like cells	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF580BQX/,/files/ENCFF489XQJ/,/files/ENCFF408QQI/,/files/ENCFF324FZW/,/files/ENCFF973OML/,/files/ENCFF571UDD/,/files/ENCFF058HQU/,/files/ENCFF730TGK/,/files/ENCFF091PVR/,/files/ENCFF295AYL/		ENCBS251SEQ,ENCBS779FCS	2,1	1		Homo sapiens	embryonic	5 days										/replicates/10f6479d-ce53-442e-9fa6-424712eb08f5/,/replicates/1ac98ca1-7588-4059-aefe-9ba3fdf13a2a/	
